iter	MultiClass
0	1.041524373
1	0.9942394391
2	0.9536475627
3	0.9198647328
4	0.8902171453
5	0.8635695073
6	0.840689845
7	0.8194951395
8	0.8020302529
9	0.7862168044
10	0.7716146936
11	0.7592494658
12	0.7471163352
13	0.7367946124
14	0.72725388
15	0.7178923143
16	0.7085966218
17	0.7001200669
18	0.6923918165
19	0.6846993726
20	0.6786429458
21	0.6726838818
22	0.6672113747
23	0.6615335489
24	0.6566581822
25	0.6524639864
26	0.6481487521
27	0.645184583128	0.6392229736
29	0.6355574209330	0.6325330533331	0.6291622038332	0.6266126787333	0.6234526919334	0.6206495923535	0.6177811103636	0.61475659
37	0.6128399154
38	0.610486831
39	0.6085864
40	0.6067049796
41	0.605085593
42	0.6033620354
43	0.6018018605
44	0.6002320294
45	0.5989475722
46	0.5973447609
47	0.5954461701
48	0.5936903186
49	0.592840906
50	0.5915059952
51	0.5903134894
52	0.5885823155
53	0.5873116434
3416
