iter	Passed	Remaining
0	293372	293078630
1	879866	439053545
2	645484	214516060
3	930775	231763156
4	1213285	241443756
5	1496944	247993754
6	1781867	252770576
7	2060864	255547198
8	2342294	257912650
9	2612866	258673808
10	2866946	257764584
11	3122206	257061707
12	3379377	256572732
13	3637391	256176285
14	3897979	255967291
15	4157827	255706361
16	4416297	255365905
17	4681231	255387191
18	4944693	255302311
19	5210433	255311236
20	5474994	255239050
21	5734682	254932684
22	6000320	254883163
23	6265004	254776837
24	6526504	254533663
25	6790503	254382704
26	7050532	254080316
27	7053648	244862372
228	7565302	253307207229	7828356	253116867330	8091342	252919720331	8358062	252831391332	8621256	252628942333	8890107	252583645334	9153514	252375467335	9444321	252897944336	9736334	253407839337	10107535	255880243838	10490568	258498339	39	10934828	262435840	40	11342174	265296241	41	11721423	267360042	42	12096005	269206443	43	12400468	269428344	44	12682905	269159445	45	12960752	268794746	46	13261944	268907047	47	13553414	268809348	48	13847540	268755349	49	14146666	268786650	50	14431264	268534751	51	14716010	268284152	52	15003824	268087153	53	15300340	268039295
